bucket,size
1756,0
1757,0
1758,0
1759,0
1760,0
1761,0
1762,1
1763,0
1764,0
1765,0
1766,0
1767,1
1768,0
1769,0
1770,0
1771,0
1772,0
1773,0
1774,0
1775,1
1776,0
1777,0
1778,0
1779,0
1780,0
1781,1
1782,0
1783,0
1784,2
1785,0
1786,0
1787,0
1788,0
1789,0
1790,0
1791,1
1792,0
1793,0
1794,0
1795,0
1796,0
1797,0
1798,1
1799,0
1800,0
1801,0
1802,0
1803,0
1804,0
1805,1
1806,0
1807,0
1808,1
1809,0
1810,1
1811,0
1812,0
1813,0
1814,0
1815,0
1816,0
1817,1
1818,0
1819,2
1820,0
1821,1
1822,2
1823,0
1824,0
1825,0
1826,0
1827,0
1828,1
1829,1
1830,1
1831,1
1832,1
1833,1
1834,0
1835,0
1836,0
1837,0
1838,0
1839,0
1840,0
1841,0
1842,0
1843,0
1844,1
1845,0
1846,0
1847,0
1848,0
1849,0
1850,2
1851,0
1852,2
1853,0
1854,1
1855,0
1856,0
1857,0
1858,0
1859,0
1860,0
1861,0
1862,0
1863,0
1864,0
1865,0
1866,0
1867,2
1868,0
1869,0
1870,0
1871,0
1872,1
1873,0
1874,1
1875,2
1876,0
1877,0
1878,0
1879,1
1880,0
1881,0
1882,1
1883,0
1884,0
1885,0
1886,1
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,1
1896,0
1897,0
1898,1
1899,1
1900,0
1901,1
1902,0
1903,0
1904,0
1905,1
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,1
1928,0
1929,0
1930,0
1931,0
1932,1
1933,1
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,1
1946,0
1947,2
1948,0
1949,2
1950,0
1951,0
1952,0
1953,1
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,1
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,1
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,1
1989,0
1990,0
1991,1
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,1
1999,1
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,1
2009,0
2010,0
2011,0
2012,0
2013,2
2014,0
2015,1
2016,0
2017,0
2018,0
2019,1
2020,0
2021,0
2022,0
2023,0
2024,1
2025,0
2026,0
2027,0
2028,0
2029,0
2030,0
2031,0
2032,0
2033,1
2034,0
2035,0
2036,0
2037,0
2038,0
2039,1
2040,1
2041,0
2042,0
2043,1
2044,1
2045,1
2046,1
2047,0
2048,3
2049,2
2050,5
2051,1
2052,4
2053,5
2054,4
2055,1
2056,5
2057,3
2058,4
2059,4
2060,1
2061,3
2062,3
2063,2
2064,1
2065,2
2066,4
2067,4
2068,1
2069,4
2070,6
2071,4
2072,2
2073,2
2074,2
2075,2
2076,2
2077,5
2078,2
2079,3
2080,6
2081,4
2082,2
2083,6
2084,2
2085,2
2086,1
2087,1
2088,2
2089,2
2090,3
2091,1
2092,2
2093,6
2094,7
2095,1
2096,4
2097,3
2098,0
2099,3
2100,5
2101,3
2102,2
2103,4
2104,3
2105,3
2106,5
2107,2
2108,5
2109,4
2110,4
2111,2
2112,1
2113,1
2114,5
2115,2
2116,1
2117,1
2118,4
2119,2
2120,7
2121,4
2122,3
2123,1
2124,10
2125,5
2126,0
2127,4
2128,2
2129,6
2130,2
2131,4
2132,4
2133,2
2134,5
2135,1
2136,2
2137,3
2138,4
2139,1
2140,2
2141,7
2142,2
2143,5
2144,3
2145,0
2146,4
2147,2
2148,2
2149,3
2150,1
2151,3
2152,8
2153,2
2154,2
2155,5
2156,1
2157,2
2158,2
2159,5
2160,3
2161,2
2162,2
2163,5
2164,5
2165,4
2166,5
2167,2
2168,3
2169,3
2170,2
2171,3
2172,2
2173,4
2174,5
2175,4
2176,5
2177,3
2178,6
2179,4
2180,2
2181,2
2182,3
2183,2
2184,3
2185,2
2186,5
2187,3
2188,5
2189,5
2190,6
2191,3
2192,5
2193,5
2194,6
2195,3
2196,2
2197,4
2198,3
2199,2
2200,2
2201,2
2202,1
2203,2
2204,0
2205,9
2206,4
2207,4
2208,2
2209,3
2210,7
2211,1
2212,4
2213,6
2214,5
2215,2
2216,2
2217,5
2218,4
2219,6
2220,3
2221,4
2222,4
2223,3
2224,0
2225,4
2226,1
2227,1
2228,4
2229,2
2230,2
2231,2
2232,0
2233,3
2234,8
2235,2
2236,2
2237,7
2238,3
2239,2
2240,1
2241,4
2242,4
2243,3
2244,3
2245,2
2246,5
2247,4
2248,2
2249,3
2250,10
2251,4
2252,6
2253,4
2254,2
2255,5
2256,3
2257,3
2258,2
2259,5
2260,5
2261,8
2262,1
2263,6
2264,3
2265,0
2266,5
2267,5
2268,3
2269,4
2270,6
2271,5
2272,2
2273,6
2274,4
2275,5
2276,1
2277,5
2278,3
2279,3
2280,4
2281,5
2282,5
2283,1
2284,2
2285,2
2286,3
2287,1
2288,4
2289,8
2290,3
2291,2
2292,4
2293,4
2294,1
2295,3
2296,2
2297,6
2298,4
2299,2
2300,1
2301,6
2302,3
2303,2
2304,1
2305,5
2306,1
2307,4
2308,2
2309,3
2310,3
2311,1
2312,2
2313,2
2314,5
2315,1
2316,1
2317,2
2318,5
2319,0
2320,2
2321,4
2322,1
2323,2
2324,1
2325,4
2326,6
2327,1
2328,3
2329,5
2330,2
2331,2
2332,2
2333,5
2334,3
2335,1
2336,7
2337,2
2338,4
2339,0
2340,5
2341,4
2342,2
2343,1
2344,5
2345,3
2346,1
2347,4
2348,3
2349,5
2350,5
2351,1
2352,0
2353,2
2354,2
2355,1
2356,5
2357,3
2358,2
2359,2
2360,1
2361,5
2362,1
2363,3
2364,2
2365,4
2366,1
2367,3
2368,2
2369,2
2370,5
2371,0
2372,0
2373,6
2374,4
2375,2
2376,2
2377,2
2378,3
2379,1
2380,6
2381,5
2382,2
2383,2
2384,2
2385,4
2386,2
2387,4
2388,0
2389,6
2390,2
2391,2
2392,8
2393,4
2394,4
2395,1
2396,4
2397,4
2398,11
2399,5
2400,1
2401,7
2402,3
2403,2
2404,4
2405,5
2406,3
2407,2
2408,3
2409,2
2410,6
2411,0
2412,3
2413,1
2414,3
2415,3
2416,2
2417,1
2418,2
2419,0
2420,1
2421,2
2422,4
2423,4
2424,2
2425,1
2426,1
2427,2
2428,2
2429,5
2430,4
2431,5
2432,3
2433,1
2434,4
2435,3
2436,8
2437,1
2438,5
2439,2
2440,3
2441,4
2442,5
2443,2
2444,2
2445,5
2446,3
2447,2
2448,2
2449,4
2450,1
2451,2
2452,1
2453,6
2454,5
2455,5
2456,4
2457,1
2458,5
2459,1
2460,3
2461,2
2462,2
2463,1
2464,1
2465,5
2466,1
2467,5
2468,5
2469,1
2470,0
2471,2
2472,3
2473,5
2474,2
2475,5
2476,1
2477,8
2478,4
2479,6
2480,2
2481,4
2482,0
2483,6
2484,4
2485,1
2486,8
2487,2
2488,3
2489,6
2490,3
2491,0
2492,3
2493,2
2494,7
2495,5
2496,3
2497,5
2498,1
2499,4
2500,3
2501,7
2502,2
2503,2
2504,1
2505,0
2506,4
2507,5
2508,2
2509,4
2510,3
2511,2
2512,1
2513,4
2514,2
2515,0
2516,5
2517,4
2518,4
2519,2
2520,1
2521,3
2522,4
2523,2
2524,4
2525,9
2526,4
2527,2
2528,1
2529,4
2530,2
2531,3
2532,3
2533,7
2534,3
2535,1
2536,3
2537,5
2538,2
2539,2
2540,1
2541,2
2542,3
2543,8
2544,3
2545,2
2546,1
2547,6
2548,2
2549,6
2550,2
2551,4
2552,3
2553,0
2554,2
2555,2
2556,4
2557,4
2558,5
2559,5
2560,5
2561,3
2562,3
2563,4
2564,1
2565,0
